,Unnamed: 0,Batsman_Name,Over,Bowler_Name,Batsman_country,Bowler_country,Host_country,Type_of_Match,Score,Run_rate,Match_time,Type_of_pitch,Type_of_Bowler,Type_of_Batsman,Bowling_area,Batting_area,Wickets,Result
0,0,Quinton de Kock,0.1,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,0,0,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,length ball off stump,defend,0,0
1,1,Quinton de Kock,0.2,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,0,0,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,length ball off stump,defend,0,0
2,2,Quinton de Kock,0.3,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,1,2,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short of a length off stump,third man,0,1
3,3,Hashim Amla,0.4,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,3,4.5,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball on stump,fine leg,0,2
4,4,Hashim Amla,0.5,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,3,3.6,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length off stump,off side,0,0
5,5,Hashim Amla,0.6,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,3,3,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball outside off,defend,0,0
6,6,Quinton de Kock,1.1,Jasprit Bumrah,South Africa,India,South Africa,ODI,3,2.57,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short of a length off stump,point,0,0
7,7,Quinton de Kock,1.2,Jasprit Bumrah,South Africa,India,South Africa,ODI,3,2.25,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short of a length,third man,0,0
8,8,Quinton de Kock,1.3,Jasprit Bumrah,South Africa,India,South Africa,ODI,3,2,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,length ball off stump,mid-off,0,0
9,9,Quinton de Kock,1.4,Jasprit Bumrah,South Africa,India,South Africa,ODI,7,4.2,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,fuller delivery,,0,4
10,10,Quinton de Kock,1.5,Jasprit Bumrah,South Africa,India,South Africa,ODI,7,3.81,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,length ball off stump,on-side,0,0
11,11,Quinton de Kock,1.6,Jasprit Bumrah,South Africa,India,South Africa,ODI,7,3.5,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,length ball off stump,,0,0
12,12,Hashim Amla,2.1,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,9,4.15,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length outside off,cover,0,2
13,13,Hashim Amla,2.2,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,10,4.28,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball outside off,fine leg,0,1
