,Unnamed: 0,Batsman_Name,Over,Bowler_Name,Batsman_country,Bowler_country,Host_country,Type_of_Match,Score,Run_rate,Match_time,Type_of_pitch,Type_of_Bowler,Type_of_Batsman,Bowling_area,Batting_area,Wickets,Result
0,0,Hashim Amla,0.1,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,0,0,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball outside off,cover,0,0
1,1,Hashim Amla,0.2,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,0,0,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball off stump,off-side,0,0
2,2,Hashim Amla,0.3,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,8,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,short and wide,cover,0,4
3,3,Hashim Amla,0.4,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,6,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,straighter delivery,point,0,0
4,4,Hashim Amla,0.5,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,4.8,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,straighter delivery,defend,0,0
5,5,Hashim Amla,0.6,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,4,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,outside off,,0,0
6,6,Quinton de Kock,1.1,Jasprit Bumrah,South Africa,India,South Africa,ODI,4,3.42,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short of a length outside off,point,0,0
7,7,Quinton de Kock,1.2,Jasprit Bumrah,South Africa,India,South Africa,ODI,4,3,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,slow delivery,,0,0
8,8,Quinton de Kock,1.3,Jasprit Bumrah,South Africa,India,South Africa,ODI,4,2.66,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short of a length,defend,0,0
9,9,Quinton de Kock,1.4,Jasprit Bumrah,South Africa,India,South Africa,ODI,4,2.4,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short of a length,defend,0,0
10,10,Quinton de Kock,1.5,Jasprit Bumrah,South Africa,India,South Africa,ODI,4,2.18,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short of a length,,0,0
11,11,Quinton de Kock,1.6,Jasprit Bumrah,South Africa,India,South Africa,ODI,4,2,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short,leave,0,0
12,12,Hashim Amla,2.1,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,1.84,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball off stump,mid-on,0,0
13,13,Hashim Amla,2.2,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,1.71,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,off-side,0,0
14,14,Hashim Amla,2.3,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,1.6,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,point,0,0
15,15,Hashim Amla,2.4,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,1.5,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,straighter delivery off stump,cover,0,0
16,16,Hashim Amla,2.5,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,1.41,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,,0,0
17,17,Hashim Amla,2.6,Bhuvneshwar Kumar,South Africa,India,South Africa,ODI,4,1.33,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball outside off,defend,0,0
18,18,Quinton de Kock,3.1,Jasprit Bumrah,South Africa,India,South Africa,ODI,6,1.89,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short ball,square,0,2
19,19,Quinton de Kock,3.2,Jasprit Bumrah,South Africa,India,South Africa,ODI,6,1.8,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short of a length,point,0,0
20,20,Quinton de Kock,3.3,Jasprit Bumrah,South Africa,India,South Africa,ODI,6,1.71,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,short ball,,0,0
21,21,Quinton de Kock,3.4,Jasprit Bumrah,South Africa,India,South Africa,ODI,6,1.63,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,length ball off stump,defend,0,0
22,22,Quinton de Kock,3.5,Jasprit Bumrah,South Africa,India,South Africa,ODI,7,1.82,Day/Night,Grassy/Cloudy,Right_arm_medium,Left_Hand_Batsman,leg-side,long leg,0,1
23,23,Hashim Amla,3.6,Jasprit Bumrah,South Africa,India,South Africa,ODI,7,1.75,Day/Night,Grassy/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,mid-off,0,0
