Unnamed: 0,Batsman_Name,Over,Bowler_Name,Batsman_country,Bowler_country,Host_counntry,Score,Run_rate,Match_time,Type_of_pitch,Type_of_Bowler,Type_of_Batsman,Bowling_area,Batting_area,Wickets,Result,Host_country
0,Aiden Markram,0.1,Shardul Thakur,South Africa,India,South Africa,0,0,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short ball,cover,0,0,South Africa
1,Aiden Markram,0.2,Shardul Thakur,South Africa,India,South Africa,4,12,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short,cover,0,4,South Africa
2,Aiden Markram,0.3,Shardul Thakur,South Africa,India,South Africa,8,16,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short,cover,0,4,South Africa
3,Aiden Markram,0.4,Shardul Thakur,South Africa,India,South Africa,8,12,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length outside off,point,0,0,South Africa
4,Aiden Markram,0.5,Shardul Thakur,South Africa,India,South Africa,8,9.6,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length off stump,cover,0,0,South Africa
5,Aiden Markram,0.6,Shardul Thakur,South Africa,India,South Africa,8,8,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,pitched up,cover,0,0,South Africa
6,Hashim Amla,1.1,Jasprit Bumrah,South Africa,India,South Africa,8,6.85,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,,0,0,South Africa
7,Hashim Amla,1.2,Jasprit Bumrah,South Africa,India,South Africa,9,6.75,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length,gully,0,1,South Africa
8,Aiden Markram,1.3,Jasprit Bumrah,South Africa,India,South Africa,9,6,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length on stump,defend,0,0,South Africa
9,Aiden Markram,1.4,Jasprit Bumrah,South Africa,India,South Africa,9,5.4,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,,0,0,South Africa
10,Aiden Markram,1.5,Jasprit Bumrah,South Africa,India,South Africa,9,4.9,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,,0,0,South Africa
11,Aiden Markram,1.6,Jasprit Bumrah,South Africa,India,South Africa,9,4.5,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length outside off,leave,0,0,South Africa
12,Hashim Amla,2.1,Shardul Thakur,South Africa,India,South Africa,9,4.15,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short,square,0,0,South Africa
13,Hashim Amla,2.2,Shardul Thakur,South Africa,India,South Africa,9,3.85,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,leave,0,0,South Africa
14,Hashim Amla,2.3,Shardul Thakur,South Africa,India,South Africa,9,3.6,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length,,0,0,South Africa
15,Hashim Amla,2.4,Shardul Thakur,South Africa,India,South Africa,9,3.37,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,cover,0,0,South Africa
16,Hashim Amla,2.5,Shardul Thakur,South Africa,India,South Africa,9,3.17,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball outside off,,0,0,South Africa
17,Hashim Amla,2.6,Shardul Thakur,South Africa,India,South Africa,13,4.33,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,pitched up,off-side,0,4,South Africa
18,Aiden Markram,3.1,Jasprit Bumrah,South Africa,India,South Africa,13,4.1,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,mid-off,0,0,South Africa
